,pros,company
36397,"1. Pay is good, and for some tough to fill roles, pay is very good. 2. The stock option plan is a good deal. 3. A number of policies treat people like adults (dress code, attendance, and vacation/holidays). You can take as much time off as you want, as long as you get your job done. 4. A number of smart people get hired. 5. The industry is growing very fast. 6. Well known brand with instant street recognition. 7. Facilities are pretty good.",netflix
35794,There are so many things..,facebook
36331,Pay and benefits. They typically pay above scale and provide benefits from the time you become a full time employee.,netflix
62731,Interest in employees as they do offer a lot of possibilities for personal/professional development. WFH is an useful benefit. Contact with big companies/businesses,microsoft
36120,No pros working for this company,netflix
34615,"Best place to work, total freedom on kind of work, great culture and values, brilliant people and awesome food.",facebook
35090,"Nice smart people to work with Excellent culture and values Good metrics measured, both human-wise (e.g. manager approval rates) and engineering wise. Flexibility in choice of team, work from home options etc. Amazing perks",facebook
473,Good technology company with plenty of opportunities to learn,google
59270,Great resources and compensation. Great work environment if you are highly competitive in nature.,microsoft
7016,"The people are generally great, the environment is amazing and there are tons of opportunities to move around if so inclined.",google
52008,- Great place to expand/master your skills - A mission to believe in,microsoft
34756,People care about helping others and live by the company's values. Huge opportunity to learn. Great autonomy and flexibility for employees.,facebook
34789,"Great company, great benefits, and great brand.",facebook
34824,"A lot of freedom, relaxed environment, surrounded by smart people, fun hackathons!",facebook
1552,Excellent benefits and pay. Solid software engineering.,google
36248,"The pay was extremely comparable to other call center jobs in the area. I found that success was completely individually based - essentially, if you wanted to do well you had to really focus your efforts on coming into work with a fresh attitude.",netflix
1479,Great Place to work overall,google
34648,"The list of pros is endless: - Company culture (they don't just talk the talk - the culture really IS as good as it sounds, if not better) - The most brilliant people in the world are your coworkers and friends - Amazing managers and management philosophy - Endless opportunities to grow, learn, stretch, move around, change, and to have impact - Best perks you'll ever find (amazing benefits, pto, parental leave, food, wellness, the list goes on) - Incredible leaders (Mark, Sheryl, Schrep, etc) with visions for the future and love for what they do - Facebook TRULY cares about its people above all else  I could go on and on - Its the #1 place to work for a reason.",facebook
58568,Great company to work for,microsoft
7314,Working Culture is great Talent Peer Healthy competition,google
35834,"We could easily run out of space here. Facebook as a company, is like friend. I've my manager's constant attention on any issues I might come up with. The amount of benefits at Facebook is close to countless, starting from the small snacks, free food and basically everything that you can imagine. Once the company gave you everything you can think of, you have a wonderful place to work, with brilliant people on the most challenging problems. All you have to do for this, is doing your job.",facebook
61396,"Professional growth and development, training and ability to change career paths, smart people, great benefits with good salaries, ability to give back through the employee giving campaign and other support for community service, good people",microsoft
35284,"The Culture: This tops the list of reasons to work at Facebook. Many companies say they take their culture seriously but Facebook lives it. The mantras and propaganda around the office really do help you ""stay focused and keep shipping"", by clearing away your own barriers and resolving debates.  The Impact: My first day on the job I submitted a diff that now hundreds of millions of people see every day. Imagining a more connected world keeps me coming in every day, because I know that I'm building that future.  The Career Opportunities: There is no arbitrary ladder, no game mechanics, at Facebook. Your career grows as you hack larger things. Because you are encouraged to work across Facebook, jumping teams and technologies, you gain a variety of skills that keeps you agile and flexible. And because Facebook is built on a lot of open source technologies, the skills you gain here are easily transferable everywhere.",facebook
35962,"Smart and mature colleagues, great pay, lots of independence, open and honest culture, beautiful campus, solid benefits, tasty food, inspiring vision",netflix
36485,"Every role at the company is a chance to directly effect the success of the business. The sense of ownership is big, the challenges are big, and the work is very engaging.  In my experience Netflix has an outstanding team of rockstars, a very motivating group to get to be a part of and work with.  The culture puts high demands on everyone, and imparts great freedom and ownership in return.  Very data driven, customer focused, innovation oriented.",netflix
34431,People are smart and friendly.,facebook
51013,Provides a platform to impact many people,microsoft
34951,"-Things move very fast here and they are constantly changing. This might not be considered a pro for those who are resistant to it but I think it helps keep the job fresh. I've been here for almost 3 years now and never once have I felt that my work has gotten stale. I think this is very important for facilitating personal and professional growth. -The people I work with every day are not only some of the smartest people I know, but they are my friends and people I chose to hang out with outside of work. Facebook encourages all employees to be their authentic selves which translates to a much more relaxed and social work environment. It's work hard play hard and it's awesome being able to work people you actually want to spend time with. -The perks are unreal. Everything from free food and laundry to awesome healthcare plans. It's actually kind of ridiculous. Their focus is on convenience benefits to help with work life balance.",facebook
34888,Great product and community. The people are great.,facebook
6709,It is the best company to work with. Employee centric company which give best to their people.,google
5437,"Amazing workplace, culture and people.",google
7210,"it's very flexible in terms of work timings, and mostly transparent.",google
4249,Classes on many subjects. Free food.,google
7442,Employee satisfaction oriented. Good paymasters. Fantastic work/life balance.,google
36261,They are very hard to please. Hard to maintain good numbers when the service is the issue.,netflix
59241,"- Opportunities to learn and move within - Pay well - Good health care - Generally good, intelligent people",microsoft
36539,"We all have an incredible opportunity to change the way people discover entertainment. As our business has grown more complex, we've chosen to retain and hire only the best of the best. This has allowed us to deal with complexity through intelligence instead of through process and layers of management. We stay nimble and trust talented individuals to understand the context of the business. We make good decisions based on that context. We minimize chaos and maximize productivity. It's remarkably energizing to work with 'scary smart' people. It allows us to all reach a little farther because we know that if we stumble there will be people right there with us to keep us from falling. Screwing up doesn't get you fired, as long as you clean it up, learn from it and do it better the next time. Everybody has the freedom to do their jobs how they think it is best done. With that freedom comes responsibility for delivering on those ideas.",netflix
35978,Free lunch once in a while,netflix
2841,"There are the most amazing people here! The people alone are what kept me here for so long. It's great to work at a company with a strong and clear mission. Note that it's pretty good work/life balance and you feel valued by the HR/benefits team due to the perks (ie: food, gym, shuttle, health/dental, discounts, dog-friendly workplace), etc.",google
2706,challenging but satisfying. Peer review makes you smile at others all the time,google
35743,"Everything about the company, is great to be surrounded by intelligent people and learn with them! You must be a faster learner and a self starter to do well!",facebook
66744,"Interesting work, good team. Get to play with cuting edge technology and have a decent budget to work with.",microsoft
14,"Perks, autonomy, cool products, smart people",google
34373,Mark is an inspiring CEO.,facebook
1674,Great co-workers are awesome,google
52698,"Great benefits, broad range of opportunities.",microsoft
36314,"* Best place if you just want to work with great technically capable folks. * 15-20% higher pay but if you actually consider everything, it might not be that big of a deal. Check what will be in-hand salary after taxes because taxes also go high with salary. * Somewhat transparent workplace but at times higher management takes ridiculous decisions like Quickster, what the hell.... * Reed gets thing right most of the time (except Quickster) and understand what he is doing.",netflix
35862,The Freedom & Responsibility Culture is top.  I had never (nor have I since) worked with such amazing colleagues. The amount and quality of work we got done was truly amazing.,netflix
51025,"Great resources, people (mostly), training, good benefits.",microsoft
7354,Intelligent people Interesting Work Always looking after you . . . . . . . . . . . . . . . . . . . . . .,google
34615,"Best place to work, total freedom on kind of work, great culture and values, brilliant people and awesome food.",facebook
52624,"Great work place, opportunity to work on very cutting edge technologies and lots of benefits from the physical space to 401k plans and much more. I really liked working there.",microsoft
34669,"Good culture, awesome co-workes, smart management",facebook
35722,"A refreshingly rational approach to maximising opportunity and efficiency for individual contributors. You're measured objectively on 'impact' but are free to determine where you can find most impact. I work with undoubtedly the strongest engineers (both max and avg levels), the culture is supportive and fast-moving, and I've developed personally more in 8 months here than I have in years elsewhere.",facebook
34389,"- The company really cares about upscaling their managers. As an individual contributor myself, I really appreciate having a caring and at the same time professional manager, who gives me a lot of flexibility, but steps in when I need them. - You are being recognized for impact, not for how many years of experience you bring to the table. This helps getting good reviews for hard work, even when you're young and unexperienced. - You get many opportunities to work cross-functionally, which is great for diversity of thought. Personally, I like the fact I am exposed to working with technical and non-technical people. - Some of the benefits are amazing. Fertility treatment coverage and in general medical coverage are the best out there.",facebook
5725,Google is the best for jobs.,google
5868,People are nice and welcoming.,google
7286,interesting work  good interesting with a bit of fun and struggle both at the same time,google
3127,"Amazing culture, people, projects, benefits, and career opportunities.",google
1189,"Free snacks, laidback atmosphere, some vacation time",google
35355,"+excellent benefits +""fun"" environment +fun outings and events",facebook
36386,"-fun work environment (IF you have a good team, and manager) -good location",netflix
6618,Very nice work balance. Very good experience. Good employee satisfaction overall. Very competitive atmosphere. Used to have team building events every other week.,google
35605,"Great benefits overall, employees are well considered.",facebook
49636,"People, culture, no overtime work",microsoft
35678,"I get to solve problems with fantastic colleagues, some of the smartest people I've ever worked with. I get to work on truly important challenges - products and systems that impact 1.7bn people. I also get to do what I love, using knowledge I gained from my PhD. Then there are the perks of being there - the free food, events and great office.",facebook
35370,"This is the best place in the world to be. Environment is all about engineers. Benefits, management, direction, culture - all very very positive items about the company. Keep up the great work Mark!!!!!!!",facebook
23,Awesome job environment to work in,google
36515,"- Working with incredibly talented people that are passionate about their work - A transparent leadership culture that is not afraid to address any missteps quickly and openly - A metrics-driven, ""consumer science"" culture that values testable hypotheses and numbers over egos and cronies - Encourages ""mavericks"" and the right to challenge anything and anyone respectfully - Treats employees as ""fully formed adults"" and provides all of the ""freedom and responsibility"" that comes with that.",netflix
35042,"1. a mission that has meaning to me, 2. smart people I learn from, 3. big challenges to tackle every day.",facebook
7464,"You'll work, meet with and listen to some of the most talented, inspiring and friendly people that you will ever see. Clear and open culture of feedback, performance recognition and cooperation. ""One Team"" feeling. You are limited not by the things that you want to do, but the things that you can do given there is only so much time in a work week. THE most valuable internship I have experienced and heard of.",google
5131,I would like to increase my level and I dream to work in Canada,google
5156,Everything was great and pleasing.,google
2928,"the people are great. benefits are amazing. the objective of the company (make information accessible) is, IMO, great.",google
55717,Good people to work with.,microsoft
35009,"1. Culture. Facebook thrives on a collaborative, open culture where anyone can make an impact. You get to work with brilliant people who are very data driven and are open to constructive feedback on projects. It doesn't matter if you are an intern or a VP, your voice matters.  2. Career Satisfaction and Growth. It's truly satisfying to work on projects that impact the nearly 1.5 billion people on Facebook's platform. I've interacted with people from every major department and there are so many interesting projects. Also, I love participating in the hackathons. You get to take a break from your current work and just be creative. It's amazing!  3. The Food. So the food is ridiculous at Facebook. That's all I need to say.  4. Facebook's Leadership. I'm very impressed with Facebook's senior leadership. They do an amazing job of communicating with FB employees and keeping everyone motivated. Specifically, they are extremely focused on Facebook's mission of making the world more open and connected.",facebook
1174,"Great company culture along with all ""google perks"". Never micro managed and always aloud to voice opinions in team environment.",google
34521,"Independence, fast pace, high impact",facebook
36363,"Free bananas, apples, coffee. Low priced soda. Free Netflix account. I worked with (not for!) some amazing people. If your supervisor likes you, you will be treated very well and have some degree of leniency when it comes to meeting stats and time spent on the phone.",netflix
35464,"I really like the pace that we're working at -- there's so much going on, and there's a lot of inherent trust in people to run with what they're doing. Policies and red tape in previous companies sometimes left me feeling a bit stifled about what I was able to work on & share, but there really is a sense of openness at Facebook, not only in communication, but in the ability to jump into projects that call out to you as well.  And beyond that, the people really are incredible: smart, fun, unique, and passionate about what they're doing. It's hard not to get excited by the people alone!",facebook
2289,"Great infrastructure, which makes it easy to deal with probably at scale.",google
34309,great company. very transparent culture. colleagues are very friendly they want to help you grow.,facebook
36378,"Free snacks, nice office, pays well",netflix
2898,"flexible schedule, decent hourly rate",google
60747,One of the best benefits packages in the industry. Plenty of opportunity for improvements in products and services if you can work through the politics. Bonuses can be very good for preferred employees. Generally intelligent people to work with.,microsoft
35601,We protect and help people.,facebook
36200,"I have worked for Netflix for 3 years. As most of reviews say, it is incredible to see how open and honest the culture is. The company is still pretty flat for its size, and you can feel your impact on initiatives you work on. Development moves very fast and our cycles are short and iterative. Multiple 6-month long projects in other companies get out the door in a matter of a few weeks.  I definitely feel like reviews on Glassdoor do not make justice to the Netflix environment. Yes, there is a lot of work, but I do not feel people get let go all the time, or that anyone would feel scared of being fired without reason. People do not get let go without fair warning. Everyone I know that has been let go so far saw it coming and recognizes it is the best for both them and the company. I find it hard to believe sometimes we have to overcome people's fears in that aspect. And newcomers realize very fast there is a myth and feel great to have joined.  In short, it is a remarkable, fair and candid company and I am thrilled to have joined and I plan to go nowhere in the next 5 years.",netflix
371,Pay and other benefits you get,google
3353,King of Great Eager Mind,google
1290,"Great people, progressive attitudes, awesome benefits",google
35613,"Facebook's culture is incredible and helps employees get the best out of their skills to succeed and achieve massive projects. The management is really one of the best components of Europe, with lots of highly experienced leaders to learn from.  The company offers a ton of benefits to make sure you are covered with everything you need to do your job and manage your personal time in the best possible way.  This is the best place where you can thrive!",facebook
34503,"Ability to drive impact from day one. Incredibly lean teams, great management exposure, people bring their authentic selves. Fantastic wellness benefits, amazing restaurants on campus, great shuttle service throughout the Bay.",facebook
35656,"I'm learning a lot from the people I work with, both technical and soft skills.",facebook
34391,"Facebook truly cares about their employees and does an amazing job taking care of us. There are way too many pros too list, but here are a few at the top - amazing work life balance, high impact, great leadership, meaningful work, some of the best benefits/perks, growing company, open culture, exciting projects, smart people, beautiful office, and much much more",facebook
1318,- The compensation package is okay. - The free food is decent. - The benefits are above and beyond. - Lots of name recognition.,google
4461,"It is the best place for software engineers. You can lean a lot from smart googlers. Also, meals are free.",google
36620,For call center work netflix has good pay and benefits. Management is also typically competent and friendly. Free 8 at a time Netflix account is nice too.,netflix
36632,Really high comp... a lot of independence to do your work. A lot of trust in terms of expense reports and how you spend company money.,netflix
399,"Work with great, smart people",google
50315,"great company, wonderful people, good work life balance",microsoft
35944,"Freedom and responsibility. Great benefits, compensation and colleagues.",netflix
36282,"Great Benefits, Freedom and Responsibility culture. Ability to express own ideas.",netflix
35986,Incredibly bright individuals to work with. The product is incredible. LOT's of perks and comp is ridiculously good.,netflix
36402,"Like many of the reviews have already said, Netflix does offer some nice employee benefits, especially the employee stock purchase program (take a look at what Netflix stock has been doing, the last couple of years - you'll wish you'd bought in 2007)  I've met some great people while working there, both peers and supervisors.  For the most part, customer support is incredibly easy, because the service itself works pretty smoothly. When it doesn't, CS reps have the power to make things right for customers, which is fabulous.  Unlimited time off (within reason, and when it's available) is awesome.",netflix
36176,Locker room to shower in after riding bike to work. Not having to engage Sr Management who always hid on the Bridge.,netflix
51600,"Work with very bright people, culture and atmosphere is very friendly and encouraging. Be prepared to learn a lot.",microsoft
671,"Culture, people, perks, access, benefits",google
3569,Benefits. Amazing coworkers. Great place for people with families.,google
58003,Great salary and benefits. Microsoft works on such a vast range of products that you are almost guaranteed to find what interests you being worked on here. Plus moving within Microsoft is not very hard as long as your performance is average or above.,microsoft
60281,- Benefits are great - Vast range of businesses that you have choice to work in - Engineering is highly respected,microsoft
52183,"Good company, nice projects, smart people.",microsoft
6534,Good work ethics Perks Fun projects! Lots of friendly staff,google
35638,"Growing company, lots of users, high impact work, love my coworkers. It's a product that is changing the world",facebook
2006,"Great culture, smart people, growing industry, opportunities to move laterally across many functional areas nad businesses",google
61638,"There are some very smart people here, and some very interesting technology. Lots of fun techie toys to play with in the course of your job, and a decent amount of support (sometimes) for doing things in new and better ways. The pay is decent, if you can avoid getting screwed over by the recruiter when you first start. Work life balance is typically respected, and it's extremely easy to get time off or work flex time when you need to. The locale is good, with lots of things to do when you aren't working. Plus you get to make Balmer Chair jokes.",microsoft
35992,Smart people. Challenging problems. Great stock plan.,netflix
34813,"The autonomy - the freedom to do work at a fast pace and little bureaucratic barriers. The food - there's such a wide variety of breakfast, lunch, dinners, happy hours, drinks, and snacks. The culture - this term is thrown around a lot but Facebook is very unique. it's almost utopian the way people come together to solve problems. not just work but social problems as well. Ex. the black lives matter conversations.",facebook
3835,"Great culture, Great leaders, Amazing transparency",google
2220,Great large company to work at,google
52631,"Working for a great team, doing work that impacts so many people.",microsoft
4163,"Ability to interact with very unique and intelligent co-workers Numerous employee perks (free food, fitness centers, events, massage, etc.)",google
5749,"Culture, Perks, Smart People, Employee happiness",google
35462,"Push code daily, work with extremely talented engineers, free food, great compensation, and seeing everyone I know use the product",facebook
34275,"Great Benefits both at work and for families like Medical/Dental/Vision/401k. Generous work related support in terms of services, food, etc.",facebook
35425,Surrounded by smart people with incredible experience. My peers are founders and inventors and role models. Given every opportunity to succeed including resources and people. Management that focuses on employee happiness and personal development.,facebook
35655,Working with the smartest people A vision led company All the food! The benefits package Competitive comp International opportunities,facebook
35638,"Growing company, lots of users, high impact work, love my coworkers. It's a product that is changing the world",facebook
34648,"The list of pros is endless: - Company culture (they don't just talk the talk - the culture really IS as good as it sounds, if not better) - The most brilliant people in the world are your coworkers and friends - Amazing managers and management philosophy - Endless opportunities to grow, learn, stretch, move around, change, and to have impact - Best perks you'll ever find (amazing benefits, pto, parental leave, food, wellness, the list goes on) - Incredible leaders (Mark, Sheryl, Schrep, etc) with visions for the future and love for what they do - Facebook TRULY cares about its people above all else  I could go on and on - Its the #1 place to work for a reason.",facebook
4881,"It's a very convenient place to work-- not only are the on-site perks helpful, but employees have plenty of opportunities to learn. Unlike many companies, where employee productivity is dependent already having a certain set of skills needed to get the job done, Google encourages (if not expected) employees to spend a majority of their time doing things they don't currently know how to do. In effect, you are getting paid to learn new skills, and due to the ""act now, think later"" Google mindset, it's generally okay to make mistakes as you learn. World-renowned industry experts regularly lecture at Google, giving the campus an even stronger college-like feel. And in terms of the perks, it's surprisingly nice to not have to think about packing a lunch, to be able to borrow a free car to run an errand, and to wash your stinky gym clothes after working out your frustrations in the weight room.",google
67100,Get to work with smart people. Access to the latest technologies. Excellent benefits.,microsoft
35396,"Really smart people and company moves incredibly fast. You can have a huge impact in a short amount of time. There is a ton of ownership and it is a pretty flat organization. The benefits at the HQ are great- free food, gym on site, shuttles to work and flexible hours. Mark has a very clear vision for the company and everyone who works here really believes in the mission. It is nice to work at a founder led company with such a strong sense of mission to make the world more open and connected.",facebook
2208,"Get to work with the brightest minds in the world, changing the way the world accesses information. This job is every engineer's dream.",google
5624,"Good Pay Amazing people Nice benefits: Freebies such as bags, hoodies, sometimes laptops etc.",google
34825,Love the environment the openness and the option to work independently,facebook
60779,good benefit and good office,microsoft
34373,Mark is an inspiring CEO.,facebook
34960,"Very open culture, super fast-moving, incredible resources at your disposal, including managerial support + autonomy (in my experience, it's rare to truly have both), and really great benefits",facebook
34802,AWSOME place to work at free snacks free food and alot of good benefits,facebook
35743,"Everything about the company, is great to be surrounded by intelligent people and learn with them! You must be a faster learner and a self starter to do well!",facebook
4089,Google is an awesome place to work with many great perks available to all employees,google
4534,Great people to work for,google
35690,"Great place to work, fantastic colleagues, developing yet supportive environment.",facebook
34717,"Doing well financially, awesome people. Good benefits. Corporate culture is transparent. Mark is awesome.",facebook
3682,Great benefits. Also great atmosphere. Make you feel young!,google
60654,Work life balance was great... They never forced you to work overtime... 40 hour work week was all that was needed and it was not held against you for promotions.,microsoft
35616,"Smart collective of people. Able to move fast - shift anf lift. Agile community. Strong perks and amazing food. Best intend for clients and users. High integrity. Freedom to do waht you want to do, and thrive on your strengths. Fair compensation.",facebook
2581,"Free food, great benefits, flexible work environment.",google
35396,"Really smart people and company moves incredibly fast. You can have a huge impact in a short amount of time. There is a ton of ownership and it is a pretty flat organization. The benefits at the HQ are great- free food, gym on site, shuttles to work and flexible hours. Mark has a very clear vision for the company and everyone who works here really believes in the mission. It is nice to work at a founder led company with such a strong sense of mission to make the world more open and connected.",facebook
36562,"Lots of employee benefits and freedom, and working with some of the brightest minds.",netflix
56422,Excellent benefits and sometimes compensation,microsoft
6886,A very good company in IT,google
1416,"I have been in Google for 6 years, and it is really as good as people say it is.  - Culture: Very supportive and positive culture - Interesting technical problems - Smart colleagues - Nice perks - Flexible work schedule",google
35932,Netflix's talent is incredibly impressive. Employees are engaged and passionate about their work. There is more of a focus on the team succeeding than individual success. It's an environment that pushes people to be their best every day. It's an environment of adults. People are given freedom to work autonomously.,netflix
4495,"Nice perk, good compensation. Love the free food.",google
6588,Best employer in India. Amazing Perks.,google
6903,1. Good work environment and atmosphere. 2. Flexible working time. 3. Nice and smart colleagues.,google
51583,"Full of smart people, opportunity to work across a broad range of topics/interests",microsoft
66895,Open and Honest Culture. Ability to speak your mind to express your views. Transparency in Performance Rating. Encouragement and focus on Career Development. Current Productline which makes the company even more excitable.,microsoft
34541,Great culture overall. Good benefits. Smart people.,facebook
5143,Worked at Google as a contractor for 2 years and was such a great culture to work in. Great food and even contractors have access to the gym. Team activities is very big here.,google
34948,"- Incredibly transparent when it comes to company priorities and initiatives - Great access to leaders in the company. Nobody is too big to talk to. - Touches basically all of internet-connect humanity, which is nice. - Playing on the largest-scale chess board in the world against the top 4-5 tech companies",facebook
1295,"I believe that Google makes the world better, by pushing the boundaries of technology and making information more accessible. I'm constantly inspired by the things that Google does. As an employee I have excellent benefits, compensation and work environment. Colleagues and management are generally positive and supportive. Plenty of opportunity for growth if you are driven, otherwise it's not hard to ""coast"" either.",google
34844,"Great benefits, the managers care a lot",facebook
55056,"Microsoft is a global leader in software, with a strong business drive and a clear and well communicated strategy. It is a company ready to shape the world future",microsoft
34844,"Great benefits, the managers care a lot",facebook
36258,"Fast paced environment. The company seemed to really appreciate all employees no matter what level they were. Benefits package was set up so that you pocketed some or all of the allotted money set aside for medical, etc. if you did not use it. Too bad all medical insurance is not set up this way...",netflix
36392,"* ""Freedom and Responsibility Culture"" = Lots of individual control (Read Reed's slide deck) * If you're part of a well-run team, you'll love it - Excellent compensation - Unique stock option program with personal choice for $$$ allocated - Fast-paced environment with lots of challenges - It's the largest streaming movie service in the world and it's just getting better - Extremely open with corporate information sharing (no internal culture of secrecy like Apple) - Incredible execution over the last couple years - the methods can be controversial, but you can't argue with the quarterly/annual results",netflix
35780,"Everyone talks about the amazing perks etc. But that is not the biggest pro. The values are. For me the fact that I can do what I am good at, and really make a a huge impact is absolutely fantastic. Things are going very fast, even with the current company size. Maybe even faster. At Facebook there is a saying that every day is a week, and for me that is true. I think it is very special that moving fast and setting high standards of performance this can go hand in hand with being really good to employees too.",facebook
35678,"I get to solve problems with fantastic colleagues, some of the smartest people I've ever worked with. I get to work on truly important challenges - products and systems that impact 1.7bn people. I also get to do what I love, using knowledge I gained from my PhD. Then there are the perks of being there - the free food, events and great office.",facebook
4523,A great place to launch your career. Many talented people are still working at Google although there has been a constant exodus of top talent. A nice to place to network and learn.,google
51815,"Amazing products, amazing people, fantastic training and opportunity.",microsoft
639,Google is an excellent place to work. I make a very high amount of money as a Senior Chief Director and it allows me to use it for good things.,google
56484,"The benefits are great: raises, stock awards, charitable gift-matching, etc. There are many very intelligent people with whom you can collaborate. Field engineers get to work from home. Great place for people who like playing with the latest and greatest tech and software.",microsoft
3480,They didnt pay bad for the work you had to do,google
35601,We protect and help people.,facebook
36321,"Good pay, decent benefits. At least it's not Cambodia",netflix
35074,- Culture - Top leadership - Product strength - Ability to learn,facebook
34947,The perks are some of the best in the business. Salaries are very healthy. Organization moves quickly. Free meals and great services offered at all offices.,facebook
36069,Pay is good for call center,netflix
5664,very good place to work,google
6419,"Smart people, Good culture, perfect personal-work life balance.",google
35695,Great young vibrant team Decent money but Dublin so expensive,facebook
34404,"- Perks - Life@FB helps manage every aspect of your work life during the day, from providing three meals a day, to unlimited visitor invites, helping with laundry, bike repair, hairdresser... - Initiative-driven culture. Nobody tells you want to do - you figure out how you can be most effective and run with that. - Strong engineering-centric culture. - Mark and Sheryl are amazing.",facebook
34392,"- Quite possibly the best benefits of any company in the U.S - 3 meals a day - You get to work on challenging problems at a an enormous scale - Autonomy to work on the things you want - You work with some of amazing infrastructure tools to make your workflow as efficient as possible. If an industry tool can't keep up with Facebook's scale, they'll just engineer its own solution. I think that speaks to its engineering culture. - You work with some of the smartest people in the industry. - An extremely open culture that's very self critical of itself.",facebook
36623,"I liked what Netflix calls 'Freedom and Responsibility' - you're free to make decisions - and you are responsible for them. I liked that my boss treated me as an adult, had no problem with me making decisions without his 'stamp', etc. While I didn't love everything about if (no place is perfect) I really enjoyed my time there. It's not for the faint of heart but it's a cool place to be.",netflix
5021,"Smart people, great culture, Amazing benefits, flexibility",google
1272,"None, everything is horrible at this place",google
64925,The real opportunity to change the world for better Great enterprise customer entry Great products (now) Great senior leadership (now) Working flexibility & style,microsoft
34717,"Doing well financially, awesome people. Good benefits. Corporate culture is transparent. Mark is awesome.",facebook
